"Name","finished_run","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/mean","train_action_batch/top1_acc_balanced_running_avg","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/adhoc_AG/mean","ANALYZE_STREAM.WINDOW_SIZE_SAMPLES","Tags","Created","Updated","End Time","Runtime","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/SE","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/adhoc_AG/mean"
"LabelWindowPredictor_2022-10-17_19-39-30_UID5dcf707f-fcba-41a0-a256-32aa522b0150","true","11.832771635055542","2.904133474826813","2.904133474826813","1.7780974505312872","10000000","","2022-10-18T02:39:35.000Z","2022-10-18T03:36:58.000Z","2022-10-18T03:07:53.000Z","1698","2.962126606975981","0.732838346631804","0.9104772187877476","7.6366339206695555","1.3288821158386028","6.787607192993164","0.9478676987116774","0.8793886717403977","2.191806805467054","1.188708136203161","2.1954030762169277"
"LabelWindowPredictor_2022-10-17_19-39-19_UID8fe27b37-2794-4775-9d07-1a9fc407dbec","true","14.99405288696289","4.328175342082978","4.328175342082977","3.202139317787452","32","","2022-10-18T02:39:24.000Z","2022-10-18T03:36:59.000Z","2022-10-18T03:07:34.000Z","1690","3.608094133145764","0.8713040610664434","1.075483086606011","8.65379090309143","1.3953606215011878","10.802196264266968","1.090707543239417","1.177826365260132","3.208963787888929","1.2049677666302592","6.209992147490731"
"LabelWindowPredictor_2022-10-17_19-39-09_UID1c1f8673-c557-41f3-b010-5f1d40dc73b5","true","20.396317577362066","7.7041114330291744","7.7041114330291744","6.578075408733649","8","","2022-10-18T02:39:15.000Z","2022-10-18T03:37:00.000Z","2022-10-18T03:07:04.000Z","1669","3.358965569055984","0.7553626052987925","1.5911724435102113","13.60612325668335","1.4636237582523977","18.18406629562378","0.9786876836688928","1.7005624137966484","8.161296141480847","1.6956455957436252","13.59186217884754"
