"Name","finished_run","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/mean","train_action_batch/top1_acc_balanced_running_avg","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/adhoc_AG/mean","ANALYZE_STREAM.WINDOW_SIZE_SAMPLES","Tags","Created","Updated","End Time","Runtime","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/SE","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/mean","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/mean"
"LabelWindowPredictor_2022-10-25_18-17-25_UIDb108c393-31f2-4a51-a807-d8537550f758","true","","2.904133474826813","","","10000000","","2022-10-26T01:17:30.000Z","2022-10-26T01:48:42.000Z","2022-10-26T01:48:42.000Z","1872","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LabelWindowPredictor_2022-10-25_18-17-04_UIDc86f00a9-a30f-4cd9-8de1-45a7c684a5ab","true","","7.7041114330291744","","","8","","2022-10-26T01:17:09.000Z","2022-10-26T01:47:48.000Z","2022-10-26T01:47:48.000Z","1839","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LabelWindowPredictor_2022-10-25_18-17-14_UID28a27071-31eb-403f-a921-24295521acce","true","","4.328175342082978","","","32","","2022-10-26T01:17:19.000Z","2022-10-26T01:46:54.000Z","2022-10-26T01:46:54.000Z","1775","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LabelWindowPredictor_2022-10-25_18-16-51_UIDe6b7e3ab-01fe-4978-971c-a81a25d24e55","true","","14.76159610748291","","","4","","2022-10-26T01:16:56.000Z","2022-10-26T01:45:58.000Z","2022-10-26T01:45:58.000Z","1742","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LabelWindowPredictor_2022-10-25_17-01-49_UID96c334c0-b3c8-487b-80eb-6fe5a571e145","true","","40.94678897857666","","","1","","2022-10-26T00:01:54.000Z","2022-10-26T00:35:19.000Z","2022-10-26T00:35:19.000Z","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
