"Name","finished_run","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/mean","train_action_batch/top1_acc_balanced_running_avg","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/adhoc_AG/mean","ANALYZE_STREAM.WINDOW_SIZE_SAMPLES","Tags","Created","Updated","End Time","Runtime","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/SE","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/mean","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/mean"
"LabelWindowPredictor_2022-10-20_18-56-49_UID895cf538-33e4-47d0-9111-5847e7fdd76a","true","55.02377548217773","40.94678897857666","40.94678897857666","39.82075295428113","1","","2022-10-21T01:56:54.000Z","2022-10-21T03:03:57.000Z","2022-10-21T02:24:49.000Z","1675","3.0765733999913274","2.188738750428474","3.3144864623153545","43.533024597167966","1.8195219133273783","54.068732833862306","2.149638758463544","3.2201777014618997","38.08819748196547","2.380885325208091","49.47652871708608","0.3646139657138892","1.6218303978443145","3.049070001375341","53.40194508433342","0.32027435494973605","1.1260360242955254","3.0088262292546246","24.79912061691284","2.860437934626525","5.232398226566969","34.71840410232544","59.51752471923828","0.5477426241786136","5.444827115202502","0.6839546419908452","6.16213595867157","2.588346334816196","2.705041246571934","65.46901333332062","71.63114929199219","0.9456772792974848","4.5922041167762355"
"LabelWindowPredictor_2022-10-17_19-39-30_UID5dcf707f-fcba-41a0-a256-32aa522b0150","true","11.832771635055542","2.904133474826813","2.904133474826813","1.7780974505312872","10000000","","2022-10-18T02:39:35.000Z","2022-10-18T03:36:58.000Z","2022-10-18T03:07:53.000Z","1698","2.962126606975981","0.732838346631804","0.9104772187877476","7.6366339206695555","1.3288821158386028","6.787607192993164","0.9478676987116774","0.8793886717403977","2.191806805467054","1.188708136203161","2.1954030762169277","0.3646139657138892","1.6218303978443145","3.2418395107603053","10.210941237211228","0.32027435494973605","1.1260360242955254","3.0088262292546246","24.79912061691284","2.5154263974020563","3.1104808019108168","6.743788814544677","31.54290943145752","0.5477426241786136","5.444827115202502","0.6839546419908452","6.16213595867157","5.214015546932526","5.2340629625957416","24.698506474494938","30.860642433166504","0.9456772792974848","4.5922041167762355"
"LabelWindowPredictor_2022-10-17_19-39-19_UID8fe27b37-2794-4775-9d07-1a9fc407dbec","true","14.99405288696289","4.328175342082978","4.328175342082977","3.202139317787452","32","","2022-10-18T02:39:24.000Z","2022-10-18T03:36:59.000Z","2022-10-18T03:07:34.000Z","1690","3.608094133145764","0.8713040610664434","1.075483086606011","8.65379090309143","1.3953606215011878","10.802196264266968","1.090707543239417","1.177826365260132","3.208963787888929","1.2049677666302592","6.209992147490731","0.3646139657138892","1.6218303978443145","3.8638516673726606","13.372222489118576","0.32027435494973605","1.1260360242955254","3.0088262292546246","24.79912061691284","2.638425037467163","3.87221201831148","7.832077693939209","32.63119831085205","0.5477426241786136","5.444827115202502","0.6839546419908452","6.16213595867157","5.276057165359189","5.291902706628933","30.12133800983429","36.28347396850586","0.9456772792974848","4.5922041167762355"
"LabelWindowPredictor_2022-10-17_19-39-09_UID1c1f8673-c557-41f3-b010-5f1d40dc73b5","true","20.396317577362066","7.7041114330291744","7.7041114330291744","6.578075408733649","8","","2022-10-18T02:39:15.000Z","2022-10-18T03:37:00.000Z","2022-10-18T03:07:04.000Z","1669","3.358965569055984","0.7553626052987925","1.5911724435102113","13.60612325668335","1.4636237582523977","18.18406629562378","0.9786876836688928","1.7005624137966484","8.161296141480847","1.6956455957436252","13.59186217884754","0.3646139657138892","1.6218303978443145","3.577689906550642","18.774487179517745","0.32027435494973605","1.1260360242955254","3.0088262292546246","24.79912061691284","3.0379078472118755","4.6122062677190705","9.963099193572996","34.76221981048584","0.5477426241786136","5.444827115202502","0.6839546419908452","6.16213595867157","4.526047672276803","4.493536851870924","37.37640984058381","43.538545799255374","0.9456772792974848","4.5922041167762355"
"LabelWindowPredictor_2022-10-13_15-59-56_UIDf78d3933-cd47-468c-83dd-1c34cd1de446","true","26.548629760742188","14.76159610748291","14.76159610748291","13.635560083187386","4","","2022-10-13T23:00:02.000Z","2022-10-18T03:09:31.000Z","2022-10-16T22:10:26.000Z","256224","3.291575655735247","1.24405287383576","2.1801441954350556","21.75457181930542","2.1059826895013356","28.56559066772461","1.3768391321454896","2.070228915679552","16.30974470410292","2.3433030293382924","23.973386550948373","0.3646139657138892","1.6218303978443145","3.5003758049187796","24.92679936289787","0.32027435494973605","1.1260360242955254","3.0088262292546246","24.79912061691284","2.4650592223351224","4.6024196850490915","13.546122837066653","38.34524345397949","0.5477426241786136","5.444827115202502","0.6839546419908452","6.16213595867157","4.467175457433772","4.5421306637474705","45.06793034076691","51.23006629943848","0.9456772792974848","4.5922041167762355"
