"Name","finished_run","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/mean","train_action_batch/top1_acc_balanced_running_avg","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/adhoc_AG/mean","ANALYZE_STREAM.WINDOW_SIZE_SAMPLES","Tags","Created","Updated","End Time","Runtime","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/SE","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_verb_batch/top1_acc_running_avg/mean","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/PRETRAIN_abs/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_running_avg/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/PRETRAIN_abs/mean"
"HindsightLabelWindowPredictor_2022-10-25_20-55-52_UID8526ad07-e9fa-4a10-ae0f-32630da92394","true","","1.5577029943466185","","","32","","2022-10-26T03:55:56.000Z","2022-10-26T04:25:34.000Z","2022-10-26T04:25:34.000Z","1778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HindsightLabelWindowPredictor_2022-10-25_20-55-58_UID61ebdbab-c24b-4355-9ea7-391a9c1c0221","true","","1.8802836418151856","","","10000000","","2022-10-26T03:56:03.000Z","2022-10-26T04:24:52.000Z","2022-10-26T04:24:52.000Z","1729","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HindsightLabelWindowPredictor_2022-10-25_20-55-43_UID1ab1613b-634d-49a5-a940-f1ad84b0eeb5","true","","1.7792735457420348","","","8","","2022-10-26T03:55:48.000Z","2022-10-26T04:24:31.000Z","2022-10-26T04:24:31.000Z","1723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HindsightLabelWindowPredictor_2022-10-25_20-55-38_UID39ae3959-8015-4812-b1ff-03aa6f177108","true","","1.5677836418151856","","","4","","2022-10-26T03:55:43.000Z","2022-10-26T04:24:13.000Z","2022-10-26T04:24:13.000Z","1710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HindsightLabelWindowPredictor_2022-10-25_20-55-28_UIDa123f433-6232-4bb3-ba89-3154ee833859","true","","1.8802836418151856","","","1","","2022-10-26T03:55:33.000Z","2022-10-26T04:23:55.000Z","2022-10-26T04:23:55.000Z","1702","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
