"Name","State","finished_run","METHOD.METHOD_NAME","Tags","Created","Runtime","SOLVER.BASE_LR","SOLVER.OPTIMIZING_METHOD","SOLVER.MOMENTUM","SOLVER.NESTEROV","METHOD.REPLAY.MEMORY_SIZE_SAMPLES","METHOD.REPLAY.STORAGE_POLICY","MODEL.FREEZE_BACKBONE","TRAIN.INNER_LOOP_ITERS","OUTPUT_DIR","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/user_aggregate_count","User","Notes","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean","TRANSFER_MATRIX/avg_AG/pred_action_batch/loss","TRANSFER_MATRIX/avg_AG/pred_noun_batch/loss","TRANSFER_MATRIX/avg_AG/pred_verb_batch/loss","adhoc_users_aggregate_history/pred_action_batch/loss/avg_history_AG/mean","adhoc_users_aggregate_history/pred_action_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_noun_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_noun_batch/loss/avg_history_AG/mean","adhoc_users_aggregate_history/pred_verb_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_verb_batch/loss/avg_history_AG/mean","TRANSFER_MATRIX/x_labels/avg_AG/pred_action_batch/loss/stream_users","TRANSFER_MATRIX/y_labels/avg_AG/pred_action_batch/loss/model_users"
"Replay_2022-10-04_10-53-29_UID53d828c0-06d3-4775-95a3-3810198c7764","finished","true","Replay","","2022-10-04T17:53:36.000Z","34592","0.01","sgd","0","true","64","window","false","1","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/eval02_01_replay/../../../results/ego4d_action_recog/eval02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=64_METHOD-REPLAY-STORAGE_POLICY=window/2022-10-04_10-53-29_UID53d828c0-06d3-4775-95a3-3810198c7764","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Replay_2022-10-04_10-53-45_UIDf36e4afd-87b0-4708-be74-c0f55a72db6b","finished","true","Replay","","2022-10-04T17:53:52.000Z","34578","0.01","sgd","0","true","64","reservoir_action","false","1","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/eval02_01_replay/../../../results/ego4d_action_recog/eval02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=64_METHOD-REPLAY-STORAGE_POLICY=reservoir_action/2022-10-04_10-53-45_UIDf36e4afd-87b0-4708-be74-c0f55a72db6b","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Replay_2022-10-04_10-53-58_UID0514f9f3-29cb-4777-acf9-d53e48ce7bfe","finished","true","Replay","","2022-10-04T17:54:06.000Z","34563","0.01","sgd","0","true","64","reservoir_stream","false","1","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/eval02_01_replay/../../../results/ego4d_action_recog/eval02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=64_METHOD-REPLAY-STORAGE_POLICY=reservoir_stream/2022-10-04_10-53-58_UID0514f9f3-29cb-4777-acf9-d53e48ce7bfe","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Replay_2022-10-04_10-53-08_UID67b0f703-c0ff-4402-8bdf-613ff803e7e0","finished","true","Replay","","2022-10-04T17:53:14.000Z","34616","0.01","sgd","0","true","1000000","window","false","1","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/eval02_01_replay/../../../results/ego4d_action_recog/eval02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=1000000_METHOD-REPLAY-STORAGE_POLICY=window/2022-10-04_10-53-08_UID67b0f703-c0ff-4402-8bdf-613ff803e7e0","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Finetuning_2022-10-04_11-01-08_UIDed429ee8-36a2-47d1-af71-b153a72b2620","finished","true","Finetuning","","2022-10-04T18:01:29.000Z","24490","0.01","sgd","0","true","1000","reservoir_stream","true","1","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/eval03_01_finetuning_fixed_feat/../../../results/ego4d_action_recog/eval03_01_finetuning_fixed_feat/logs/GRID_SOLVER-BASE_LR=0-01/2022-10-04_11-01-08_UIDed429ee8-36a2-47d1-af71-b153a72b2620","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Finetuning_2022-10-04_10-45-52_UID4ab309a3-d7cc-41f5-b763-333224d6bc07","finished","true","Finetuning","","2022-10-04T17:45:58.000Z","35047","0.01","sgd","0","true","1000","reservoir_stream","false","1","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/eval01_01_finetuning_sgd/../../../results/ego4d_action_recog/eval01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-0_SOLVER-NESTEROV=True/2022-10-04_10-45-52_UID4ab309a3-d7cc-41f5-b763-333224d6bc07","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
