"Name","State","finished_run","METHOD.METHOD_NAME","Tags","Created","Runtime","SOLVER.BASE_LR","SOLVER.OPTIMIZING_METHOD","SOLVER.MOMENTUM","SOLVER.NESTEROV","METHOD.REPLAY.MEMORY_SIZE_SAMPLES","METHOD.REPLAY.STORAGE_POLICY","OUTPUT_DIR","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/user_aggregate_count","User","Notes","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean"
"Replay_2022-09-15_18-23-13_UID09ab4f67-814b-4331-aa80-839cd99a1d9f","finished","true","Replay","","2022-09-16T01:23:21.000Z","40208","0.01","sgd","0","true","1000000","window","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=1000000_METHOD-REPLAY-STORAGE_POLICY=window/2022-09-15_18-23-13_UID09ab4f67-814b-4331-aa80-839cd99a1d9f","","","","","","","matthiasdelange","-",""
"Replay_2022-09-15_18-20-13_UID30c05856-ca5b-47ed-9157-fb65ef3a1664","finished","true","Replay","","2022-09-16T01:20:19.000Z","40439","0.01","sgd","0","true","1000000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=1000000_METHOD-REPLAY-STORAGE_POLICY=reservoir_stream/2022-09-15_18-20-13_UID30c05856-ca5b-47ed-9157-fb65ef3a1664","","","","","","","matthiasdelange","-",""
"Replay_2022-09-15_18-24-54_UID3743b40f-c145-4521-b911-98e4867dfe3e","finished","true","Replay","","2022-09-16T01:25:03.000Z","39536","0.01","sgd","0","true","1000000","reservoir_action","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=1000000_METHOD-REPLAY-STORAGE_POLICY=reservoir_action/2022-09-15_18-24-54_UID3743b40f-c145-4521-b911-98e4867dfe3e","","","","","","","matthiasdelange","-",""
"Replay_2022-09-15_18-20-06_UID89c62a3e-cd4b-4b13-b30f-74e061f5f284","finished","true","Replay","","2022-09-16T01:20:11.000Z","40258","0.01","sgd","0","true","128","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=128_METHOD-REPLAY-STORAGE_POLICY=reservoir_stream/2022-09-15_18-20-06_UID89c62a3e-cd4b-4b13-b30f-74e061f5f284","","","","","","","matthiasdelange","-",""
"Replay_2022-09-15_18-24-37_UIDd2da90e9-62f7-43ee-8f85-e773567dcdab","finished","true","Replay","","2022-09-16T01:24:46.000Z","40146","0.01","sgd","0","true","128","reservoir_action","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=128_METHOD-REPLAY-STORAGE_POLICY=reservoir_action/2022-09-15_18-24-37_UIDd2da90e9-62f7-43ee-8f85-e773567dcdab","","","","","","","matthiasdelange","-",""
"Replay_2022-09-15_18-22-48_UID04c2f279-5073-4dec-b6f0-905bdcc099ff","finished","true","Replay","","2022-09-16T01:22:55.000Z","40015","0.01","sgd","0","true","64","window","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=64_METHOD-REPLAY-STORAGE_POLICY=window/2022-09-15_18-22-48_UID04c2f279-5073-4dec-b6f0-905bdcc099ff","","","","","","","matthiasdelange","-",""
"Replay_2022-09-15_18-23-06_UID1557b00b-a4b0-45c3-b444-bc2459ecad5e","finished","true","Replay","","2022-09-16T01:23:14.000Z","39877","0.01","sgd","0","true","128","window","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=128_METHOD-REPLAY-STORAGE_POLICY=window/2022-09-15_18-23-06_UID1557b00b-a4b0-45c3-b444-bc2459ecad5e","","","","","","","matthiasdelange","-",""
"Replay_2022-09-15_18-20-43_UID472f48d3-b957-4b07-9596-f71cfd7add04","finished","true","Replay","","2022-09-16T01:20:49.000Z","39503","0.01","sgd","0","true","8","window","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=8_METHOD-REPLAY-STORAGE_POLICY=window/2022-09-15_18-20-43_UID472f48d3-b957-4b07-9596-f71cfd7add04","","","","","","","matthiasdelange","-",""
"Replay_2022-09-15_18-24-07_UIDef2d7443-d0b8-4ce0-a040-e24e20168b22","finished","true","Replay","","2022-09-16T01:24:15.000Z","34412","0.01","sgd","0","true","64","reservoir_action","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=64_METHOD-REPLAY-STORAGE_POLICY=reservoir_action/2022-09-15_18-24-07_UIDef2d7443-d0b8-4ce0-a040-e24e20168b22","","","","","","","matthiasdelange","-",""
"Replay_2022-09-15_18-24-00_UIDadc3b2c4-5785-4be4-8e50-32d0551a1eee","finished","true","Replay","","2022-09-16T01:24:07.000Z","14045","0.01","sgd","0","true","8","reservoir_action","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=8_METHOD-REPLAY-STORAGE_POLICY=reservoir_action/2022-09-15_18-24-00_UIDadc3b2c4-5785-4be4-8e50-32d0551a1eee","","","","","","","matthiasdelange","-",""
