"Name","TRAIN.INNER_LOOP_ITERS","SOLVER.BASE_LR","adhoc_users_aggregate/pred_action_batch/loss/avg_history_AG/SE","adhoc_users_aggregate/pred_action_batch/loss/avg_history_AG/mean","adhoc_users_aggregate/pred_noun_batch/loss/avg_history_AG/SE","adhoc_users_aggregate/pred_noun_batch/loss/avg_history_AG/mean","adhoc_users_aggregate/pred_verb_batch/loss/avg_history_AG/SE","adhoc_users_aggregate/pred_verb_batch/loss/avg_history_AG/mean","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean","adhoc_users_aggregate/user_aggregate_count","adhoc_users_aggregate_history/pred_action_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_action_batch/loss/avg_history_AG/mean","adhoc_users_aggregate_history/pred_noun_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_noun_batch/loss/avg_history_AG/mean","adhoc_users_aggregate_history/pred_verb_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_verb_batch/loss/avg_history_AG/mean"
"Finetuning_2022-09-27_18-27-00_UIDc7f8903a-443b-4c79-908c-c56808bb628a","10","0.1","","","","","","","0.5617537288585585","-0.9346615795193564","0.3514968224580575","0.41273011648355207","0.23917726038258608","-1.3473916878012109","10","4.714301489583569","-14.36517860815255","1.815702309586137","-6.934899337324699","2.932501759455922","-7.430279276486685"
"Finetuning_2022-09-27_18-26-27_UID86bb8721-edee-4acd-ac5f-bf5bf75bb7d7","3","0.1","","","","","","","0.48994175206301777","0.413033567509243","0.3072546277892439","0.9715832689476108","0.21738935443590204","-0.5585497419535355","10","2.0063775073339114","-8.919642313064482","1.1382091123794826","-4.898329693265003","1.2925800005594026","-4.021312598929617"
"Finetuning_2022-09-27_18-26-53_UIDe621fb41-ea83-4af4-9b84-8226ed8f28c1","5","0.1","","","","","","","0.5490317684222675","-0.03012016728156164","0.3461252812758211","0.8016422284892609","0.23688471335974504","-0.8317623961949314","10","4.3685584950042005","-11.207305534622078","3.1134456526246144","-6.693526047519806","1.3072136461269803","-4.513779465454257"
"Finetuning_2022-09-27_18-26-13_UID4268472f-6297-4cb5-bc18-14b868103b7e","2","0.1","","","","","","","0.4773607075813414","0.6773391121850527","0.3084531198136656","1.000999108256696","0.20754694207230495","-0.323660017430779","10","0.9979268018276009","-2.53550529529297","0.7326898728480923","-1.254222795142413","0.3861094586313229","-1.2812824937591143"
"Finetuning_2022-09-27_17-59-29_UID67863feb-7342-46a4-8c3c-6c0cab5c2c23","10","0.01","","","","","","","0.49336703726098063","0.8823349393238281","0.3007840422491271","1.223221190424685","0.22858260732631572","-0.3408862915324487","10","0.8861216861243906","-2.4639883257358486","0.5667669011237687","-1.204916465048075","0.4605096583593571","-1.2590718633467373"
"Finetuning_2022-09-27_17-59-18_UID0d10a988-098e-4958-abcc-3623c2fa1154","5","0.01","","","","","","","0.46857972889939703","1.3057760909706797","0.29136242526853856","1.4160222463830363","0.21651141915649424","-0.11024615406036711","10","0.6174268771752542","-1.2125330918369392","0.42511051765711577","-0.6257216242553861","0.4036121516400227","-0.5868114680125635"
"Finetuning_2022-09-27_17-57-14_UID29055bae-9a87-4fa0-8b0a-365c065fbbfa","10","0.001","","","","","","","0.40673526117394054","1.8417819080377964","0.2800012386562548","1.5640717947486702","0.17321004679689203","0.2777101149626882","10","0.7283925580532671","0.5080183672895862","0.396820794963604","0.6284598436770353","0.4107162070414087","-0.12044147826897596"
"Finetuning_2022-09-27_17-58-35_UIDc7ced891-2d88-4f84-a85e-6f29b46d4481","3","0.01","","","","","","","0.44310920734977494","1.6020019292561845","0.2834710063803044","1.5369246981042628","0.1998742695116945","0.06507724324990613","10","0.5906423991873077","-0.3504140442297309","0.4441220067861153","-0.10441147256110328","0.3513838142789482","-0.24600256762207"
"Finetuning_2022-09-27_17-57-41_UIDa2c88327-44ec-48b1-8410-1d79ee1ac00d","2","0.01","","","","","","","0.4203129866058401","1.7954216408005053","0.27712102878146966","1.5947094079742763","0.18460848626951884","0.20071221734719707","10","0.509167274951257","0.3392427812109006","0.3531912969178775","0.5556473692808488","0.31672703842421235","-0.2164045807916636"
"Finetuning_2022-09-27_17-57-04_UID2dbf66fe-3462-47b6-9286-3f658129e143","5","0.001","","","","","","","0.3893108573221848","1.917050227406125","0.27551050034826874","1.519337647446177","0.15933753189309358","0.3977125919852428","10","0.5885743194666198","1.476236896448799","0.31138727932699095","1.273604711480964","0.3133550644780856","0.20263218637957717"
"Finetuning_2022-09-27_17-56-12_UID7223160f-7c25-47f6-9255-592e408cf2f3","2","0.001","","","","","","","0.3708438969664083","1.5923335466786186","0.2722985367696772","1.1916459279505751","0.13750135765892443","0.40068763340857794","10","0.3529160292165632","2.194358704880433","0.21827684018579133","1.721728157322998","0.18183659146060005","0.4726305481314026"
"Finetuning_2022-09-27_17-56-23_UIDdcc7a8b5-7ae7-401c-ba66-1eb12f99f028","3","0.001","","","","","","","0.3808170705215848","1.7774686082972857","0.275396483263226","1.36222657565648","0.14833583474193757","0.4152420068455209","10","0.47410128620623415","1.972829657565363","0.27666265488855807","1.5843064538805025","0.23651482539684016","0.38852321115061833"
