"Name","SOLVER.BASE_LR","SOLVER.CLASSIFIER_LR","finished_run","State","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean","adhoc_users_aggregate/user_aggregate_count","adhoc_users_aggregate_history/pred_action_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_action_batch/loss/avg_history_AG/mean","adhoc_users_aggregate_history/pred_noun_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_noun_batch/loss/avg_history_AG/mean","adhoc_users_aggregate_history/pred_verb_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_verb_batch/loss/avg_history_AG/mean"
"Finetuning_2022-09-30_10-48-08_UID68a35fad-46b1-434d-bfb0-d80b679bdb6b","0.1","0.001","true","finished","","","","","","","","","","","","",""
"Finetuning_2022-09-30_10-46-35_UIDc73f36cb-9882-42a1-86cc-c57cb5f315cb","0.01","0.001","true","finished","","","","","","","","","","","","",""
"Finetuning_2022-09-30_10-45-43_UID755ca6ad-234f-458a-ab75-b812e1c440cb","0.01","0.1","true","finished","","","","","","","","","","","","",""
"Finetuning_2022-09-30_10-46-16_UID2f35e530-91d4-4e11-b798-6e2297b9cfc0","0.01","0.01","true","finished","","","","","","","","","","","","",""
"Finetuning_2022-09-30_10-47-35_UIDd1b4602b-a2af-41a8-85f0-1cc99e75a6b7","0.1","0.1","true","finished","","","","","","","","","","","","",""
"Finetuning_2022-09-30_10-47-24_UIDa950215d-1e9a-4e42-8e07-6697e1b28db2","0.001","0.001","true","finished","","","","","","","","","","","","",""
"Finetuning_2022-09-30_10-47-09_UID5faac00d-d3af-4757-ae92-e7a674dec251","0.001","0.1","true","finished","","","","","","","","","","","","",""
"Finetuning_2022-09-30_10-47-56_UID05954287-e92d-4bed-8e4d-7920cfecd685","0.1","0.01","true","finished","","","","","","","","","","","","",""
"Finetuning_2022-09-30_10-47-16_UID3d5da49d-cd3b-4d4e-81c1-16b2dfdccf4a","0.001","0.01","true","finished","","","","","","","","","","","","",""
