"Name","State","METHOD.METHOD_NAME","Notes","User","Tags","Created","Runtime","SOLVER.BASE_LR","SOLVER.MOMENTUM","SOLVER.OPTIMIZING_METHOD","OUTPUT_DIR"
"Finetuning_2022-09-11_21-54-37_UID89411de5-479c-43e3-94da-7a02cbabb796_MATT","finished","Finetuning","-","matthiasdelange","","2022-09-11T21:57:09.000Z","22105","0.0001","0.9","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-0001_SOLVER-MOMENTUM=0-9/2022-09-11_21-54-37_UID89411de5-479c-43e3-94da-7a02cbabb796"
"Finetuning_2022-09-11_21-54-53_UID73e360c4-c761-4329-bf30-a1f5a3b26aa6_MATT","finished","Finetuning","-","matthiasdelange","","2022-09-11T21:57:01.000Z","29026","0.0001","0","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-0001_SOLVER-MOMENTUM=0-0/2022-09-11_21-54-53_UID73e360c4-c761-4329-bf30-a1f5a3b26aa6"
"Finetuning_2022-09-11_17-14-56_UID04c7eb9d-709f-44cc-b969-92ea5f87998a_MATT","finished","Finetuning","-","matthiasdelange","","2022-09-11T17:15:43.000Z","39408","0.1","0.9","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-9/2022-09-11_17-14-56_UID04c7eb9d-709f-44cc-b969-92ea5f87998a"
"Finetuning_2022-09-11_17-15-58_UIDb636a389-7a63-402d-82c5-008309bc21c5_MATT","finished","Finetuning","-","matthiasdelange","","2022-09-11T17:17:14.000Z","32381","0.001","0.9","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-9/2022-09-11_17-15-58_UIDb636a389-7a63-402d-82c5-008309bc21c5"
"Finetuning_2022-09-10_23-44-28_UIDc404b99e-f355-43dc-ae08-d836fc110d0a_MATT","finished","Finetuning","-","matthiasdelange","","2022-09-11T06:45:14.000Z","22200","0.01","0.9","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-9/2022-09-10_23-44-28_UIDc404b99e-f355-43dc-ae08-d836fc110d0a"
"Finetuning_2022-09-10_23-27-04_UID162ece3f-d5c4-4f1f-af00-9d76254c110b_MATT","finished","Finetuning","grid LR/momentum","matthiasdelange","","2022-09-11T06:27:59.000Z","22900","0.001","0","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-0/2022-09-10_23-27-04_UID162ece3f-d5c4-4f1f-af00-9d76254c110b"
"Finetuning_2022-09-10_23-26-30_UID64009fa3-fbfb-4e97-bf12-220863160289_MATT","finished","Finetuning","grid LR/momentum","matthiasdelange","","2022-09-11T06:27:15.000Z","22747","0.01","0","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-0/2022-09-10_23-26-30_UID64009fa3-fbfb-4e97-bf12-220863160289"
"Finetuning_2022-09-10_23-24-37_UID9dc86f7c-a21a-437f-87b1-061ab56a31b2_MATT","finished","Finetuning","grid LR/mome","matthiasdelange","","2022-09-11T06:25:15.000Z","23089","0.1","0","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-0/2022-09-10_23-24-37_UID9dc86f7c-a21a-437f-87b1-061ab56a31b2"
