"Name","State","finished_run","METHOD.METHOD_NAME","Tags","Created","Runtime","SOLVER.BASE_LR","SOLVER.OPTIMIZING_METHOD","SOLVER.MOMENTUM","SOLVER.NESTEROV","METHOD.REPLAY.MEMORY_SIZE_SAMPLES","METHOD.REPLAY.STORAGE_POLICY","MODEL.FREEZE_BACKBONE","OUTPUT_DIR","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/user_aggregate_count","User","Notes","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean"
"Replay_2022-09-16_09-09-54_UID5898e385-c23a-4c85-abb1-f74975dc306e","finished","true","Replay","","2022-09-16T16:10:01.000Z","15630","0.01","sgd","0","true","64","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=64_METHOD-REPLAY-STORAGE_POLICY=reservoir_stream/2022-09-16_09-09-54_UID5898e385-c23a-4c85-abb1-f74975dc306e","","","","","","","matthiasdelange","-",""
"Replay_2022-09-16_09-08-56_UIDeb40fed0-8c8c-4364-aa4a-2ea58e58a843","finished","true","Replay","","2022-09-16T16:09:03.000Z","15755","0.01","sgd","0","true","8","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=8_METHOD-REPLAY-STORAGE_POLICY=reservoir_stream/2022-09-16_09-08-56_UIDeb40fed0-8c8c-4364-aa4a-2ea58e58a843","","","","","","","matthiasdelange","-",""
"Replay_2022-09-16_09-08-05_UIDed846c34-7df3-4d82-89d6-f4f8e6be3b0e","finished","","Replay","","2022-09-16T16:08:12.000Z","83","0.01","sgd","0","true","64","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=64_METHOD-REPLAY-STORAGE_POLICY=reservoir_stream/2022-09-16_09-08-05_UIDed846c34-7df3-4d82-89d6-f4f8e6be3b0e","","","","","","","matthiasdelange","-",""
"Replay_2022-09-15_18-23-13_UID09ab4f67-814b-4331-aa80-839cd99a1d9f","finished","true","Replay","","2022-09-16T01:23:21.000Z","40208","0.01","sgd","0","true","1000000","window","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=1000000_METHOD-REPLAY-STORAGE_POLICY=window/2022-09-15_18-23-13_UID09ab4f67-814b-4331-aa80-839cd99a1d9f","2.006498545703259","1.587274337181304","0.38089083145762465","0.2683938929342621","0.16009030952808556","10","matthiasdelange","-","0.41922423846782586"
"Replay_2022-09-15_18-20-13_UID30c05856-ca5b-47ed-9157-fb65ef3a1664","finished","true","Replay","","2022-09-16T01:20:19.000Z","40439","0.01","sgd","0","true","1000000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=1000000_METHOD-REPLAY-STORAGE_POLICY=reservoir_stream/2022-09-15_18-20-13_UID30c05856-ca5b-47ed-9157-fb65ef3a1664","1.976210087214475","1.5588860897669783","0.3822114690457362","0.26580056407658176","0.1604278476521275","10","matthiasdelange","-","0.4173240257260043"
"Replay_2022-09-15_18-24-54_UID3743b40f-c145-4521-b911-98e4867dfe3e","finished","true","Replay","","2022-09-16T01:25:03.000Z","39536","0.01","sgd","0","true","1000000","reservoir_action","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=1000000_METHOD-REPLAY-STORAGE_POLICY=reservoir_action/2022-09-15_18-24-54_UID3743b40f-c145-4521-b911-98e4867dfe3e","2.01270421574863","1.5757437825306966","0.3764490930710457","0.264322009148058","0.15961439963667895","10","matthiasdelange","-","0.4369604399306029"
"Replay_2022-09-15_18-20-06_UID89c62a3e-cd4b-4b13-b30f-74e061f5f284","finished","true","Replay","","2022-09-16T01:20:11.000Z","40258","0.01","sgd","0","true","128","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=128_METHOD-REPLAY-STORAGE_POLICY=reservoir_stream/2022-09-15_18-20-06_UID89c62a3e-cd4b-4b13-b30f-74e061f5f284","1.9695847636481651","1.5659283809914082","0.3775388269343488","0.26582151094606404","0.15955397931084667","10","matthiasdelange","-","0.4036564000765536"
"Replay_2022-09-15_18-24-37_UIDd2da90e9-62f7-43ee-8f85-e773567dcdab","finished","true","Replay","","2022-09-16T01:24:46.000Z","40146","0.01","sgd","0","true","128","reservoir_action","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=128_METHOD-REPLAY-STORAGE_POLICY=reservoir_action/2022-09-15_18-24-37_UIDd2da90e9-62f7-43ee-8f85-e773567dcdab","1.983162840661853","1.5748681867691394","0.37468857666986416","0.2651546664668876","0.158206177125342","10","matthiasdelange","-","0.40829469572337784"
"Replay_2022-09-15_18-22-48_UID04c2f279-5073-4dec-b6f0-905bdcc099ff","finished","true","Replay","","2022-09-16T01:22:55.000Z","40015","0.01","sgd","0","true","64","window","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=64_METHOD-REPLAY-STORAGE_POLICY=window/2022-09-15_18-22-48_UID04c2f279-5073-4dec-b6f0-905bdcc099ff","1.9662991147292477","1.5628763418375482","0.3678671668393824","0.25748641861650523","0.15936176715177083","10","matthiasdelange","-","0.4034227250912378"
"Replay_2022-09-15_18-23-06_UID1557b00b-a4b0-45c3-b444-bc2459ecad5e","finished","true","Replay","","2022-09-16T01:23:14.000Z","39877","0.01","sgd","0","true","128","window","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=128_METHOD-REPLAY-STORAGE_POLICY=window/2022-09-15_18-23-06_UID1557b00b-a4b0-45c3-b444-bc2459ecad5e","1.9777105107554929","1.56878143652082","0.37623075430307235","0.26605483999631746","0.15755337249880422","10","matthiasdelange","-","0.40892906324944134"
