"Name","State","finished_run","METHOD.METHOD_NAME","Tags","Created","Runtime","SOLVER.BASE_LR","SOLVER.OPTIMIZING_METHOD","SOLVER.MOMENTUM","SOLVER.NESTEROV","METHOD.REPLAY.MEMORY_SIZE_SAMPLES","METHOD.REPLAY.STORAGE_POLICY","MODEL.FREEZE_BACKBONE","TRAIN.INNER_LOOP_ITERS","OUTPUT_DIR","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/user_aggregate_count","User","Notes","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean","TRANSFER_MATRIX/avg_AG/pred_action_batch/loss","TRANSFER_MATRIX/avg_AG/pred_noun_batch/loss","TRANSFER_MATRIX/avg_AG/pred_verb_batch/loss","adhoc_users_aggregate_history/pred_action_batch/loss/avg_history_AG/mean","adhoc_users_aggregate_history/pred_action_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_noun_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_noun_batch/loss/avg_history_AG/mean","adhoc_users_aggregate_history/pred_verb_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_verb_batch/loss/avg_history_AG/mean","TRANSFER_MATRIX/x_labels/avg_AG/pred_action_batch/loss/stream_users","TRANSFER_MATRIX/y_labels/avg_AG/pred_action_batch/loss/model_users"
"Finetuning_2022-09-27_18-27-00_UIDc7f8903a-443b-4c79-908c-c56808bb628a","finished","true","Finetuning","","2022-09-28T01:27:05.000Z","15771","0.1","sgd","0","true","1000","reservoir_stream","false","10","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/../../../results/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/logs/GRID_SOLVER-BASE_LR=0-1_TRAIN-INNER_LOOP_ITERS=10/2022-09-27_18-27-00_UIDc7f8903a-443b-4c79-908c-c56808bb628a","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Finetuning_2022-09-27_18-26-27_UID86bb8721-edee-4acd-ac5f-bf5bf75bb7d7","finished","true","Finetuning","","2022-09-28T01:26:32.000Z","15808","0.1","sgd","0","true","1000","reservoir_stream","false","3","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/../../../results/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/logs/GRID_SOLVER-BASE_LR=0-1_TRAIN-INNER_LOOP_ITERS=3/2022-09-27_18-26-27_UID86bb8721-edee-4acd-ac5f-bf5bf75bb7d7","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Finetuning_2022-09-27_18-26-53_UIDe621fb41-ea83-4af4-9b84-8226ed8f28c1","finished","true","Finetuning","","2022-09-28T01:26:59.000Z","15742","0.1","sgd","0","true","1000","reservoir_stream","false","5","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/../../../results/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/logs/GRID_SOLVER-BASE_LR=0-1_TRAIN-INNER_LOOP_ITERS=5/2022-09-27_18-26-53_UIDe621fb41-ea83-4af4-9b84-8226ed8f28c1","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Finetuning_2022-09-27_18-26-13_UID4268472f-6297-4cb5-bc18-14b868103b7e","finished","true","Finetuning","","2022-09-28T01:26:18.000Z","15740","0.1","sgd","0","true","1000","reservoir_stream","false","2","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/../../../results/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/logs/GRID_SOLVER-BASE_LR=0-1_TRAIN-INNER_LOOP_ITERS=2/2022-09-27_18-26-13_UID4268472f-6297-4cb5-bc18-14b868103b7e","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Finetuning_2022-09-27_17-59-29_UID67863feb-7342-46a4-8c3c-6c0cab5c2c23","finished","true","Finetuning","","2022-09-28T00:59:35.000Z","16283","0.01","sgd","0","true","1000","reservoir_stream","false","10","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/../../../results/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/logs/GRID_SOLVER-BASE_LR=0-01_TRAIN-INNER_LOOP_ITERS=10/2022-09-27_17-59-29_UID67863feb-7342-46a4-8c3c-6c0cab5c2c23","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Finetuning_2022-09-27_17-59-18_UID0d10a988-098e-4958-abcc-3623c2fa1154","finished","true","Finetuning","","2022-09-28T00:59:24.000Z","16099","0.01","sgd","0","true","1000","reservoir_stream","false","5","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/../../../results/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/logs/GRID_SOLVER-BASE_LR=0-01_TRAIN-INNER_LOOP_ITERS=5/2022-09-27_17-59-18_UID0d10a988-098e-4958-abcc-3623c2fa1154","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Finetuning_2022-09-27_17-57-14_UID29055bae-9a87-4fa0-8b0a-365c065fbbfa","finished","true","Finetuning","","2022-09-28T00:57:19.000Z","16254","0.001","sgd","0","true","1000","reservoir_stream","false","10","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/../../../results/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/logs/GRID_SOLVER-BASE_LR=0-001_TRAIN-INNER_LOOP_ITERS=10/2022-09-27_17-57-14_UID29055bae-9a87-4fa0-8b0a-365c065fbbfa","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Finetuning_2022-09-27_17-58-35_UIDc7ced891-2d88-4f84-a85e-6f29b46d4481","finished","true","Finetuning","","2022-09-28T00:58:41.000Z","16114","0.01","sgd","0","true","1000","reservoir_stream","false","3","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/../../../results/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/logs/GRID_SOLVER-BASE_LR=0-01_TRAIN-INNER_LOOP_ITERS=3/2022-09-27_17-58-35_UIDc7ced891-2d88-4f84-a85e-6f29b46d4481","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Finetuning_2022-09-27_17-57-41_UIDa2c88327-44ec-48b1-8410-1d79ee1ac00d","finished","true","Finetuning","","2022-09-28T00:57:46.000Z","16131","0.01","sgd","0","true","1000","reservoir_stream","false","2","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/../../../results/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/logs/GRID_SOLVER-BASE_LR=0-01_TRAIN-INNER_LOOP_ITERS=2/2022-09-27_17-57-41_UIDa2c88327-44ec-48b1-8410-1d79ee1ac00d","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Finetuning_2022-09-27_17-57-04_UID2dbf66fe-3462-47b6-9286-3f658129e143","finished","true","Finetuning","","2022-09-28T00:57:09.000Z","16111","0.001","sgd","0","true","1000","reservoir_stream","false","5","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/../../../results/ego4d_action_recog/final07_01_finetuning_sgd_multi_iter/logs/GRID_SOLVER-BASE_LR=0-001_TRAIN-INNER_LOOP_ITERS=5/2022-09-27_17-57-04_UID2dbf66fe-3462-47b6-9286-3f658129e143","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
