"Name","State","finished_run","METHOD.METHOD_NAME","Tags","Created","Runtime","SOLVER.BASE_LR","SOLVER.OPTIMIZING_METHOD","SOLVER.MOMENTUM","SOLVER.NESTEROV","METHOD.REPLAY.MEMORY_SIZE_SAMPLES","METHOD.REPLAY.STORAGE_POLICY","MODEL.FREEZE_BACKBONE","OUTPUT_DIR","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/user_aggregate_count","User","Notes","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean"
"FinetuningMomentumReset_2022-09-16_17-34-18_UID8cae3077-fb05-4368-b3d6-95cb2813e823","finished","true","FinetuningMomentumReset","","2022-09-17T00:34:25.000Z","5658","0.01","sgd","0.9","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=True/2022-09-16_17-34-18_UID8cae3077-fb05-4368-b3d6-95cb2813e823","","","","","","","matthiasdelange","-",""
"FinetuningMomentumReset_2022-09-16_17-33-48_UID6f0118ff-06d6-4ce7-836f-46a596f9e156","finished","true","FinetuningMomentumReset","","2022-09-17T00:33:53.000Z","5699","0.01","sgd","0.3","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=True/2022-09-16_17-33-48_UID6f0118ff-06d6-4ce7-836f-46a596f9e156","","","","","","","matthiasdelange","-",""
"FinetuningMomentumReset_2022-09-16_17-34-00_UIDfe3723fe-663c-4bf8-a4c8-bebc3563140c","finished","true","FinetuningMomentumReset","","2022-09-17T00:34:04.000Z","5635","0.01","sgd","0.6","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-16_17-34-00_UIDfe3723fe-663c-4bf8-a4c8-bebc3563140c","","","","","","","matthiasdelange","-",""
