"Name","State","finished_run","METHOD.METHOD_NAME","Tags","Created","Runtime","SOLVER.BASE_LR","SOLVER.OPTIMIZING_METHOD","SOLVER.MOMENTUM","SOLVER.NESTEROV","METHOD.REPLAY.MEMORY_SIZE_SAMPLES","METHOD.REPLAY.STORAGE_POLICY","OUTPUT_DIR","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/user_aggregate_count","User","Notes","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean"
"Finetuning_2022-09-14_19-05-45_UIDbb155890-64ad-4263-817d-8d26cae67add_MATT","finished","true","Finetuning","","2022-09-15T02:37:30.000Z","21230","0.1","sgd","0","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-0_SOLVER-NESTEROV=True/2022-09-13_09-33-33_UIDf1d94198-7bae-4ba6-ac99-a13c24c3fb14","2.038192686642816","3.4189795888318684","2.0929293171764884","1.300762747564402","0.9418911964670148","10","matthiasdelange","-","-1.3807868953410414"
"Finetuning_2022-09-14_19-06-02_UID2c4355e2-c42c-46d9-ba37-8cb8abe8d1d0_MATT","finished","true","Finetuning","","2022-09-15T02:42:14.000Z","20923","0.01","sgd","0","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-0_SOLVER-NESTEROV=True/2022-09-13_10-53-52_UID958392f7-c477-4a09-a7ac-c72cc81251c2","7.845672652188031","6.384890117631545","1.61784482453953","1.0975643768873815","0.6954433493626847","10","matthiasdelange","-","1.4607824911485725"
"Finetuning_2022-09-14_19-06-48_UIDf999b5d0-5794-4bcf-9172-e3bc310f497b_MATT","finished","true","Finetuning","","2022-09-15T02:38:33.000Z","20815","0.001","sgd","0","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-0_SOLVER-NESTEROV=True/2022-09-13_09-33-53_UIDa6fe4344-2d3e-4d95-9b80-bcc5005eba30","4.487506786007875","3.2729132115778192","1.3926522219477722","1.0301085998102535","0.48566082084483975","10","matthiasdelange","-","1.214593610010365"
"Finetuning_2022-09-14_19-07-02_UIDa83559d5-518a-4e3b-8550-230006951b0a_MATT","finished","true","Finetuning","","2022-09-15T02:43:00.000Z","19727","0.1","sgd","0.3","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=True/2022-09-13_09-34-51_UID819b79e9-031e-4695-9d61-1d8f7dd89d50","1.1927013685309735","3.0281016011353623","1.9513370717076","1.2759581564097573","0.8084665054033708","10","matthiasdelange","-","-1.8354001095726613"
"Finetuning_2022-09-14_19-13-12_UID2425fbfb-02de-4db8-9b8c-560a1658f125_MATT","finished","true","Finetuning","","2022-09-15T02:36:39.000Z","13622","0.01","sgd","0.9","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=True/2022-09-13_18-41-04_UIDb7144f28-120f-4cfc-bfb8-f3767fa47de5","1.3652295947569406","2.3012802202862517","1.674174599200689","1.0801514734937878","0.7044626027926679","10","matthiasdelange","-","-0.936050656983371"
"Finetuning_2022-09-14_19-12-57_UID6baebf41-b3cb-4351-bc43-719ef27786a6_MATT","finished","true","Finetuning","","2022-09-15T02:36:11.000Z","13661","0.1","sgd","0.9","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=True/2022-09-13_18-40-18_UID095b218d-1de1-468a-b8b9-8891f4fc358f","-9.28558064596508","-2.524619116206778","3.4173065227771287","1.8549292749694897","1.707027963871628","10","matthiasdelange","-","-6.76096152272429"
"Finetuning_2022-09-14_19-12-33_UIDff7587a2-d0e7-49ad-b3a4-9aa4819443e6_MATT","finished","true","Finetuning","","2022-09-15T02:35:07.000Z","13610","0.001","sgd","0.6","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-13_11-21-41_UID90dc9916-8bf1-42b2-aeca-867e5ac87c8b","6.212618674379107","4.686424032637049","1.5223014739185936","1.1172034711344887","0.5534856727498857","10","matthiasdelange","-","1.5261945394868397"
"Finetuning_2022-09-14_19-14-54_UIDa13d9e4e-aaaf-424a-8510-0afced5d247f_MATT","finished","true","Finetuning","","2022-09-15T02:37:50.000Z","13354","0.001","sgd","0.9","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=True/2022-09-13_18-41-23_UIDf06876a4-5df0-4a3e-8ee6-0d8d2ef69776","4.165250655406386","3.335174896715322","1.4844649488001882","1.030918528473759","0.5587565301051267","10","matthiasdelange","-","0.8300755897166432"
"Finetuning_2022-09-14_19-11-22_UIDc6c7cbb5-bcbc-42d6-8b13-b86d1d5cd585_MATT","finished","true","Finetuning","","2022-09-15T02:33:58.000Z","13628","0.001","sgd","0.3","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=True/2022-09-13_09-35-20_UID15afc9c2-2463-47fa-b6f9-59930f45a628","5.400626979467617","3.994201131633341","1.4596531177680336","1.0800888044362753","0.5193613824296127","10","matthiasdelange","-","1.4064257851212365"
"Finetuning_2022-09-11_21-54-53_UID73e360c4-c761-4329-bf30-a1f5a3b26aa6_MATT","finished","true","Finetuning","","2022-09-11T21:57:01.000Z","36357","0.0001","sgd","0","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-0001_SOLVER-MOMENTUM=0-0/2022-09-11_21-54-53_UID73e360c4-c761-4329-bf30-a1f5a3b26aa6","-6.11816694158466","-4.969582359458151","2.6934878724953832","2.2640162540377187","0.4597916981159412","4","matthiasdelange","-","-1.1485845344593233"
"Finetuning_2022-09-11_17-14-56_UID04c7eb9d-709f-44cc-b969-92ea5f87998a_MATT","finished","true","Finetuning","","2022-09-11T17:15:43.000Z","39408","0.1","sgd","0.9","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-9/2022-09-11_17-14-56_UID04c7eb9d-709f-44cc-b969-92ea5f87998a","-9.609700064631951","-3.850093754374001","3.027898461895332","1.6600816864398087","1.4446130457604065","4","matthiasdelange","-","-5.759606160051634"
"Finetuning_2022-09-11_17-15-58_UIDb636a389-7a63-402d-82c5-008309bc21c5_MATT","finished","true","Finetuning","","2022-09-11T17:17:14.000Z","32381","0.001","sgd","0.9","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-9/2022-09-11_17-15-58_UIDb636a389-7a63-402d-82c5-008309bc21c5","-1.4149177517017142","-1.2118203956808165","1.5077806719484723","1.058612177786759","0.4651639278795451","4","matthiasdelange","-","-0.20309726846495263"
"Finetuning_2022-09-10_23-44-28_UIDc404b99e-f355-43dc-ae08-d836fc110d0a_MATT","finished","true","Finetuning","","2022-09-11T06:45:14.000Z","22200","0.01","sgd","0.9","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-9/2022-09-10_23-44-28_UIDc404b99e-f355-43dc-ae08-d836fc110d0a","-2.3941369981074905","-1.3658516053252543","1.772913682498222","1.1235369252188996","0.699491917249372","4","matthiasdelange","-","-1.0282855128471948"
"Finetuning_2022-09-10_23-27-04_UID162ece3f-d5c4-4f1f-af00-9d76254c110b_MATT","finished","true","Finetuning","","2022-09-11T06:27:59.000Z","22900","0.001","sgd","0","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-0/2022-09-10_23-27-04_UID162ece3f-d5c4-4f1f-af00-9d76254c110b","0.2878007169628811","-0.2731148282212589","1.5291089984137316","1.156192094027932","0.46538705052182017","4","matthiasdelange","grid LR/momentum","0.5609154873273678"
"Finetuning_2022-09-10_23-26-30_UID64009fa3-fbfb-4e97-bf12-220863160289_MATT","finished","true","Finetuning","","2022-09-11T06:27:15.000Z","22747","0.01","sgd","0","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-0/2022-09-10_23-26-30_UID64009fa3-fbfb-4e97-bf12-220863160289","4.3135057002029935","2.862146924427854","1.4942292281804257","1.2003399803455663","0.6042424255960788","4","matthiasdelange","grid LR/momentum","1.4513589341962438"
"Finetuning_2022-09-10_23-24-37_UID9dc86f7c-a21a-437f-87b1-061ab56a31b2_MATT","finished","true","Finetuning","","2022-09-11T06:25:15.000Z","23089","0.1","sgd","0","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp01_01_finetuning_sgd/../../../results/ego4d_action_recog/exp01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-0/2022-09-10_23-24-37_UID9dc86f7c-a21a-437f-87b1-061ab56a31b2","-0.3466279113433204","0.80904866674652","1.872748022951561","1.1927763068480473","0.9294677142971264","4","matthiasdelange","grid LR/mome","-1.1556766794159996"
