"Name","State","finished_run","METHOD.METHOD_NAME","Tags","Created","Runtime","SOLVER.BASE_LR","SOLVER.OPTIMIZING_METHOD","SOLVER.MOMENTUM","SOLVER.NESTEROV","METHOD.REPLAY.MEMORY_SIZE_SAMPLES","METHOD.REPLAY.STORAGE_POLICY","MODEL.FREEZE_BACKBONE","OUTPUT_DIR","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/user_aggregate_count","User","Notes","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean","TRANSFER_MATRIX/avg_AG/pred_action_batch/loss","TRANSFER_MATRIX/avg_AG/pred_noun_batch/loss","TRANSFER_MATRIX/avg_AG/pred_verb_batch/loss","adhoc_users_aggregate_history/pred_action_batch/loss/avg_history_AG/mean","adhoc_users_aggregate_history/pred_action_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_noun_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_noun_batch/loss/avg_history_AG/mean","adhoc_users_aggregate_history/pred_verb_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_verb_batch/loss/avg_history_AG/mean","TRANSFER_MATRIX/x_labels/avg_AG/pred_action_batch/loss/stream_users","TRANSFER_MATRIX/y_labels/avg_AG/pred_action_batch/loss/model_users"
"Replay_2022-09-26_15-03-46_UID9ae96afd-806e-423e-9c08-9b7c8ba7beea","finished","true","Replay","","2022-09-26T22:03:51.000Z","9343","0.01","sgd","0.9","true","64","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final05_01_replay_momentum_full/../../../results/ego4d_action_recog/final05_01_replay_momentum_full/logs/GRID_SOLVER-MOMENTUM=0-9/2022-09-26_15-03-46_UID9ae96afd-806e-423e-9c08-9b7c8ba7beea","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Replay_2022-09-26_15-03-10_UID8d0848e1-a690-4074-a54b-812cc6669d48","finished","true","Replay","","2022-09-26T22:03:16.000Z","9307","0.01","sgd","0.6","true","64","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final05_01_replay_momentum_full/../../../results/ego4d_action_recog/final05_01_replay_momentum_full/logs/GRID_SOLVER-MOMENTUM=0-6/2022-09-26_15-03-10_UID8d0848e1-a690-4074-a54b-812cc6669d48","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"Replay_2022-09-26_15-01-39_UIDd6a03557-904b-4e3c-b0c8-50f64228a019","finished","true","Replay","","2022-09-26T22:01:43.000Z","22968","0.01","sgd","0.3","true","64","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final05_01_replay_momentum_full/../../../results/ego4d_action_recog/final05_01_replay_momentum_full/logs/GRID_SOLVER-MOMENTUM=0-3/2022-09-26_15-01-39_UIDd6a03557-904b-4e3c-b0c8-50f64228a019","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"FinetuningMomentumReset_2022-09-26_22-36-42_UIDf69e8cb5-e1ee-44db-aada-9ea857d0035d","finished","true","FinetuningMomentumReset","","2022-09-26T22:36:51.000Z","5305","0.001","sgd","0.9","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=True/2022-09-26_22-36-42_UIDf69e8cb5-e1ee-44db-aada-9ea857d0035d","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"FinetuningMomentumReset_2022-09-26_22-32-39_UID05fbdc39-be3a-4218-ba78-933051d151f6","finished","true","FinetuningMomentumReset","","2022-09-26T22:32:43.000Z","5457","0.001","sgd","0.6","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-26_22-32-39_UID05fbdc39-be3a-4218-ba78-933051d151f6","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
"FinetuningMomentumReset_2022-09-26_22-32-05_UIDfeb5c688-ca52-4c6f-9acb-be1dc641e152","finished","true","FinetuningMomentumReset","","2022-09-26T22:32:11.000Z","5433","0.001","sgd","0.3","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=True/2022-09-26_22-32-05_UIDfeb5c688-ca52-4c6f-9acb-be1dc641e152","","","","","","","matthiasdelange","-","","","","","","","","","","","",""
