"Name","finished_run","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/mean","train_action_batch/top1_acc_balanced_running_avg","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/adhoc_AG/mean","Tags","Created","Updated","End Time","Runtime","adhoc_users_aggregate/train_action_batch/top1_acc_running_avg/SE","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/mean","adhoc_users_aggregate/train_action_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_verb_batch/top1_acc_balanced_running_avg/adhoc_AG/mean","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/adhoc_AG/SE","adhoc_users_aggregate/train_noun_batch/top1_acc_balanced_running_avg/adhoc_AG/mean"
"LabelWindowPredictor_2022-10-17_19-39-30_UID5dcf707f-fcba-41a0-a256-32aa522b0150","true","","2.904133474826813","","","","2022-10-18T02:39:35.000Z","2022-10-18T03:07:53.000Z","2022-10-18T03:07:53.000Z","1698","","","","","","","","","","",""
"LabelWindowPredictor_2022-10-17_19-39-19_UID8fe27b37-2794-4775-9d07-1a9fc407dbec","true","","4.328175342082978","","","","2022-10-18T02:39:24.000Z","2022-10-18T03:07:34.000Z","2022-10-18T03:07:34.000Z","1690","","","","","","","","","","",""
"LabelWindowPredictor_2022-10-17_19-39-09_UID1c1f8673-c557-41f3-b010-5f1d40dc73b5","true","","7.7041114330291744","","","","2022-10-18T02:39:15.000Z","2022-10-18T03:07:04.000Z","2022-10-18T03:07:04.000Z","1669","","","","","","","","","","",""
"LabelWindowPredictor_2022-10-13_15-59-56_UIDf78d3933-cd47-468c-83dd-1c34cd1de446","true","26.548629760742188","14.76159610748291","14.76159610748291","13.635560083187386","","2022-10-13T23:00:02.000Z","2022-10-18T03:09:31.000Z","2022-10-16T22:10:26.000Z","256224","3.291575655735247","1.24405287383576","2.1801441954350556","21.75457181930542","2.1059826895013356","28.56559066772461","1.3768391321454896","2.070228915679552","16.30974470410292","2.3433030293382924","23.973386550948373"
"LabelWindowPredictor_2022-10-11_16-15-47_UIDe36637f2-06e9-4e37-92c7-c73dcb823ac5","true","26.548629760742188","","","","","2022-10-11T23:15:52.000Z","2022-10-13T20:28:39.000Z","2022-10-11T23:44:09.000Z","1697","3.291575655735247","","","","","","","","","",""
