"Name","State","finished_run","METHOD.METHOD_NAME","Tags","Created","Runtime","SOLVER.BASE_LR","SOLVER.OPTIMIZING_METHOD","SOLVER.MOMENTUM","SOLVER.NESTEROV","METHOD.REPLAY.MEMORY_SIZE_SAMPLES","METHOD.REPLAY.STORAGE_POLICY","MODEL.FREEZE_BACKBONE","OUTPUT_DIR","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/user_aggregate_count","User","Notes","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean","adhoc_users_aggregate/pred_action_batch/loss/avg_history_AG/SE","adhoc_users_aggregate/pred_noun_batch/loss/avg_history_AG/SE","adhoc_users_aggregate/pred_noun_batch/loss/avg_history_AG/mean","adhoc_users_aggregate/pred_verb_batch/loss/avg_history_AG/SE","adhoc_users_aggregate/pred_verb_batch/loss/avg_history_AG/mean","TRANSFER_MATRIX/avg_AG/pred_action_batch/loss","TRANSFER_MATRIX/avg_AG/pred_noun_batch/loss","TRANSFER_MATRIX/avg_AG/pred_verb_batch/loss"
"Finetuning_2022-09-19_12-16-57_UID11a32c82-471b-4921-a5c7-0ee393fdabf0","finished","true","Finetuning","","2022-09-19T19:17:03.000Z","2698","0.1","sgd","0","true","1000","reservoir_stream","true","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final03_01_finetuning_fixed_feat/../../../results/ego4d_action_recog/final03_01_finetuning_fixed_feat/logs/GRID_SOLVER-BASE_LR=0-1/2022-09-19_12-16-57_UID11a32c82-471b-4921-a5c7-0ee393fdabf0","-33.28066455986743","-14.758563723868251","2.785023969566842","1.7165386704283454","1.345781753584257","10","matthiasdelange","-","-18.522100804225797","11.359005337610991","5.765311132526353","-47.560124873220914","7.845609349438688","-44.20172656661984","[[-178.9048829317093,-155.3030999183655,-126.6202702999115,-135.898851108551,-128.5629695177078,-132.07769751548767,-100.8395688533783,-107.73759479522704,-115.61646418571472,-189.6961982011795],[-124.15000393390656,-99.23829202651976,-61.39166693687439,-128.95961923599242,-121.86845734119416,-91.71943640708923,-96.65158705711364,-115.63561420440674,-122.6344642162323,-126.8311171770096],[-169.21303265094758,-174.37426767349243,-107.34935812950134,-119.55384683609007,-150.44728729724883,-125.01250739097595,-131.6889371395111,-145.83118457794188,-149.94518580436707,-200.61360695362092],[-73.45332119464874,-88.19304971694946,-73.80433669090272,-73.71982698440551,-87.77376778125763,-85.23622794151306,-65.74598670005798,-66.9143102645874,-68.89353823661804,-92.78393318653109],[-68.57781689167022,-101.24137201309205,-78.72295432090759,-65.21985540390014,-68.86807129383087,-53.818164587020874,-49.70685839653015,-60.51835689544678,-54.72790675163269,-68.60921967029572],[-86.40143978595734,-104.62066888809204,-95.54140906333924,-117.68047189712524,-105.19867432117462,-73.71004347801208,-82.31068930625915,-98.29430255889892,-65.97422709465027,-143.99837868213655],[-149.67454845905303,-154.1528214454651,-96.17870230674744,-120.56947107315064,-155.53024475574497,-142.64678015708924,-95.4229413509369,-123.73767261505128,-133.9245032787323,-120.90486824512482],[-77.16889584064484,-89.81103601455689,-82.86612143516541,-72.84639673233032,-63.67603256702423,-72.19986090660095,-56.171891164779666,-68.87763614654541,-59.91962008476257,-110.68006660938264],[-153.17954723834993,-147.35554513931274,-108.74639105796814,-148.60546350479126,-121.63964188098907,-126.72505927085876,-110.77825293540954,-106.47584705352784,-103.10579142570496,-169.29172432422638],[-76.54474728107452,-73.86715745925903,-75.87611632347107,-69.18080339431762,-79.74386780261993,-82.85971655845643,-57.28234705924988,-62.083861351013184,-77.52493243217468,-48.42167046070099]]","[[-86.18358384370804,-56.55222156047821,-49.370804977416995,-55.69625551700592,-68.89885895252227,-58.176941108703616,-38.06901381015778,-40.10501799583435,-54.94033806324005,-69.75013208687305],[-52.37755089998245,-24.215227007865906,-42.2210880279541,-46.67342245578766,-44.24466049671173,-31.82444820404053,-34.85166685581207,-41.12675909996032,-48.67208778858185,-41.083406165242195],[-77.1152885556221,-77.09832751750946,-56.61905670166016,-79.52193510532379,-88.60397102832795,-73.39678401947022,-64.52760984897614,-75.27763838768006,-84.13622467517852,-92.59024553596971],[-50.62230492830277,-58.89898097515106,-50.45732612609864,-47.9659422159195,-61.57805244922638,-67.80247592926025,-49.20470221042633,-48.92273383140564,-64.96589500904084,-57.60570459663868],[-26.482970440387724,-34.74351756572723,-29.780597305297853,-15.86314866542816,-30.12322700023651,-35.458434867858884,-23.12837145328522,-30.794461584091188,-49.43448212146759,-34.990465071797374],[-65.27101441621781,-85.61331012248993,-70.70604515075684,-76.7515753030777,-81.01766579151153,-57.89768390655517,-61.009062790870665,-62.85264525413513,-56.916897130012515,-110.10508928596974],[-61.64723092317581,-54.19807460308075,-47.18420066833496,-53.07920515537262,-61.271671986579896,-59.61229305267334,-45.09223577976227,-43.516894292831424,-47.28403542041779,-49.743972876667975],[-38.86150780916214,-42.14509913921356,-38.018320846557614,-36.00446150302887,-36.17040321826935,-40.70646953582764,-29.02728178501129,-35.62573733329773,-37.13569519519806,-53.19451532661915],[-95.64468995332716,-87.22102344036102,-70.0564567565918,-78.94119246006012,-73.26826584339142,-72.22834644317626,-79.61299650669098,-69.62994933128357,-58.34539368152618,-111.88989382088184],[-52.16044694185257,-53.42451808452606,-50.78493728637695,-50.35288488864899,-51.42360031604767,-49.82500019073486,-38.96113798618317,-27.253884649276735,-49.02826912403107,-33.53316126167774]]","[[-92.7213006734848,-98.75087909698486,-77.24946765899658,-80.20259573459626,-59.66410940885544,-73.90075715780259,-62.77055726051331,-67.632577419281,-60.67612677812576,-119.94606501460076],[-71.77245194911957,-75.02306423187255,-19.17057819366455,-82.2861986398697,-77.62379568815231,-59.89498819112778,-61.79991936683655,-74.50885457992554,-73.9623763203621,-85.74771220088004],[-92.09774491786956,-97.27594089508057,-50.730301475524904,-40.03191320896149,-61.84331549406052,-51.61572488546371,-67.16132760047913,-70.55354452133179,-65.80896216630936,-108.02336222529412],[-22.831015956401824,-29.294069862365724,-23.34701049327816,-25.753884625434875,-26.195715199613183,-17.433752858638762,-16.541285221651197,-17.991577243804933,-3.927643329787043,-35.178228825330734],[-42.09484670162201,-66.49785594940185,-48.942356848716734,-49.35670826435089,-38.74484531820999,-18.3597302794361,-26.57848660051759,-29.723894801735877,-5.29342496321185,-33.618755668378256],[-21.13042438030243,-19.007359945436473,-24.835363774886353,-40.92889883518219,-24.18100930433575,-15.812359340250255,-21.301625871658324,-35.44165658950806,-9.057330070073624,-33.8932903110981],[-88.02731873989106,-99.9547456741333,-48.99450283050537,-67.49026472568512,-94.25857199430466,-83.0344863295555,-50.330705881118774,-80.22078008651734,-86.6404685139656,-71.16089465022087],[-38.307387709617615,-47.66593666076661,-44.84780216217041,-36.84193422794342,-27.50562905073166,-31.49339116811752,-27.144609117507933,-33.25189828872681,-22.783925926685335,-57.48555170893669],[-57.53485810756683,-60.134519004821776,-38.68993320465088,-69.66427137851716,-48.37137259244919,-54.49671128988266,-31.165255975723262,-36.84589700698852,-44.76039630174637,-57.401831310987475],[-24.384299516675988,-20.442639350890612,-25.0911789894104,-18.827920031547546,-28.320265853404997,-33.03471673727036,-18.32120992241471,-34.82997694015503,-28.49666370852355,-14.888509529829014]]"
"FinetuningMomentumReset_2022-09-16_17-34-18_UID8cae3077-fb05-4368-b3d6-95cb2813e823","finished","true","FinetuningMomentumReset","","2022-09-17T00:34:25.000Z","5658","0.01","sgd","0.9","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=True/2022-09-16_17-34-18_UID8cae3077-fb05-4368-b3d6-95cb2813e823","0.7217152001274861","0.8253875945807982","0.46552941614268784","0.2901380042867369","0.2001092015079621","10","matthiasdelange","-","-0.10367241066458946","","","","","","","",""
"FinetuningMomentumReset_2022-09-16_17-33-48_UID6f0118ff-06d6-4ce7-836f-46a596f9e156","finished","true","FinetuningMomentumReset","","2022-09-17T00:33:53.000Z","5699","0.01","sgd","0.3","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=True/2022-09-16_17-33-48_UID6f0118ff-06d6-4ce7-836f-46a596f9e156","1.8349325672092691","1.533741832839037","0.4136018779930789","0.27613652051402526","0.1763588114672714","10","matthiasdelange","-","0.30119074285064423","","","","","","","",""
"FinetuningMomentumReset_2022-09-16_17-34-00_UIDfe3723fe-663c-4bf8-a4c8-bebc3563140c","finished","true","FinetuningMomentumReset","","2022-09-17T00:34:04.000Z","5635","0.01","sgd","0.6","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-16_17-34-00_UIDfe3723fe-663c-4bf8-a4c8-bebc3563140c","1.556215193977836","1.359193753490234","0.4316442120747721","0.2858490217800147","0.17997449984093697","10","matthiasdelange","-","0.1970214647623992","","","","","","","",""
"Finetuning_2022-09-16_15-22-20_UIDdf4b91e7-2721-429a-8c66-55024f472e32","finished","true","Finetuning","","2022-09-16T22:22:25.000Z","5049","0.01","sgd","0","true","1000","reservoir_stream","true","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final03_01_finetuning_fixed_feat/../../../results/ego4d_action_recog/final03_01_finetuning_fixed_feat/logs/GRID_SOLVER-BASE_LR=0-01/2022-09-16_15-22-20_UIDdf4b91e7-2721-429a-8c66-55024f472e32","1.5900449484793344","1.5280184419642122","0.4180376727827943","0.27278788514800334","0.18922622978593712","10","matthiasdelange","-","0.06202646830369862","","","","","","","",""
"Replay_2022-09-16_09-09-54_UID5898e385-c23a-4c85-abb1-f74975dc306e","finished","true","Replay","","2022-09-16T16:10:01.000Z","15630","0.01","sgd","0","true","64","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=64_METHOD-REPLAY-STORAGE_POLICY=reservoir_stream/2022-09-16_09-09-54_UID5898e385-c23a-4c85-abb1-f74975dc306e","1.9593118931367155","1.5487625238273768","0.3815873533352749","0.26508399263775334","0.16402121016526655","10","matthiasdelange","-","0.4105493755208983","","","","","","","",""
"Replay_2022-09-16_09-08-56_UIDeb40fed0-8c8c-4364-aa4a-2ea58e58a843","finished","true","Replay","","2022-09-16T16:09:03.000Z","15755","0.01","sgd","0","true","8","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=8_METHOD-REPLAY-STORAGE_POLICY=reservoir_stream/2022-09-16_09-08-56_UIDeb40fed0-8c8c-4364-aa4a-2ea58e58a843","1.9547511532061488","1.5310952057694844","0.38929887994568535","0.27698227889922306","0.15536567275919674","10","matthiasdelange","-","0.42365598575447905","","","","","","","",""
"Replay_2022-09-15_18-23-13_UID09ab4f67-814b-4331-aa80-839cd99a1d9f","finished","true","Replay","","2022-09-16T01:23:21.000Z","40208","0.01","sgd","0","true","1000000","window","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=1000000_METHOD-REPLAY-STORAGE_POLICY=window/2022-09-15_18-23-13_UID09ab4f67-814b-4331-aa80-839cd99a1d9f","2.006498545703259","1.587274337181304","0.38089083145762465","0.2683938929342621","0.16009030952808556","10","matthiasdelange","-","0.41922423846782586","","","","","","","",""
"Replay_2022-09-15_18-20-13_UID30c05856-ca5b-47ed-9157-fb65ef3a1664","finished","true","Replay","","2022-09-16T01:20:19.000Z","40439","0.01","sgd","0","true","1000000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=1000000_METHOD-REPLAY-STORAGE_POLICY=reservoir_stream/2022-09-15_18-20-13_UID30c05856-ca5b-47ed-9157-fb65ef3a1664","1.9769229348173296","1.5594870447529243","0.3821423617205075","0.265756852963631","0.16041548908501024","10","matthiasdelange","-","0.41743591831419274","","","","","","","",""
"Replay_2022-09-15_18-24-54_UID3743b40f-c145-4521-b911-98e4867dfe3e","finished","true","Replay","","2022-09-16T01:25:03.000Z","39536","0.01","sgd","0","true","1000000","reservoir_action","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=1000000_METHOD-REPLAY-STORAGE_POLICY=reservoir_action/2022-09-15_18-24-54_UID3743b40f-c145-4521-b911-98e4867dfe3e","2.013436868645085","1.5763480054190937","0.37637895651538805","0.2642754450912796","0.15960179390290152","10","matthiasdelange","-","0.437088869938661","","","","","","","",""
