"Name","State","finished_run","METHOD.METHOD_NAME","Tags","Created","Runtime","SOLVER.BASE_LR","SOLVER.OPTIMIZING_METHOD","SOLVER.MOMENTUM","SOLVER.NESTEROV","METHOD.REPLAY.MEMORY_SIZE_SAMPLES","METHOD.REPLAY.STORAGE_POLICY","OUTPUT_DIR","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/user_aggregate_count","User","Notes","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean"
"Finetuning_2022-09-15_16-09-03_UID41589b64-32eb-49ce-b524-c8d2d210e0d7","finished","true","Finetuning","","2022-09-15T23:09:12.000Z","19651","0.01","sgd","0.9","false","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=False/2022-09-15_16-09-03_UID41589b64-32eb-49ce-b524-c8d2d210e0d7","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_16-09-13_UID294f8120-5ecd-4246-98d6-7090bb2c3684","finished","true","Finetuning","","2022-09-15T23:09:22.000Z","19591","0.001","sgd","0.9","false","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=False/2022-09-15_16-09-13_UID294f8120-5ecd-4246-98d6-7090bb2c3684","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_16-08-34_UIDd1c379b2-44f4-4549-898e-b882434eb6f2","finished","true","Finetuning","","2022-09-15T23:08:42.000Z","19654","0.1","sgd","0.9","false","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=False/2022-09-15_16-08-34_UIDd1c379b2-44f4-4549-898e-b882434eb6f2","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_16-08-16_UIDb359153a-5f76-47f8-90f3-02061a59914b","finished","true","Finetuning","","2022-09-15T23:08:24.000Z","19450","0.001","sgd","0.6","false","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=False/2022-09-15_16-08-16_UIDb359153a-5f76-47f8-90f3-02061a59914b","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_16-06-28_UID703c9a5b-6f64-4e2c-ad8f-77dc82c61e6a","finished","true","Finetuning","","2022-09-15T23:06:34.000Z","19697","0.001","sgd","0.3","false","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=False/2022-09-15_16-06-28_UID703c9a5b-6f64-4e2c-ad8f-77dc82c61e6a","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_16-06-19_UID5731535d-5481-47a1-af6c-cf613b54448f","finished","true","Finetuning","","2022-09-15T23:06:25.000Z","19628","0.01","sgd","0.3","false","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=False/2022-09-15_16-06-19_UID5731535d-5481-47a1-af6c-cf613b54448f","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_16-07-21_UIDbb99ae0c-9d19-4861-8c12-b7cca8e3848c","finished","true","Finetuning","","2022-09-15T23:07:29.000Z","19586","0.01","sgd","0.6","false","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=False/2022-09-15_16-07-21_UIDbb99ae0c-9d19-4861-8c12-b7cca8e3848c","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_16-07-13_UID2acc4988-f2c0-48e7-86f9-61808f37bf16","finished","true","Finetuning","","2022-09-15T23:07:21.000Z","19599","0.1","sgd","0.6","false","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=False/2022-09-15_16-07-13_UID2acc4988-f2c0-48e7-86f9-61808f37bf16","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_16-03-37_UID1157a2f0-9a70-44f0-915a-8431a44e073e","finished","true","Finetuning","","2022-09-15T23:03:41.000Z","12425","0.01","sgd","0.6","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-15_16-03-37_UID1157a2f0-9a70-44f0-915a-8431a44e073e","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_16-05-00_UIDc812577b-7510-4f00-8801-d0cbda69d84c","finished","true","Finetuning","","2022-09-15T23:05:05.000Z","8519","0.1","sgd","0.3","false","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=False/2022-09-15_16-05-00_UIDc812577b-7510-4f00-8801-d0cbda69d84c","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_16-02-47_UID715e464c-e464-4ce1-9a53-06bb2fe60cc4","finished","true","Finetuning","","2022-09-15T23:02:52.000Z","8407","0.1","sgd","0.6","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-15_16-02-47_UID715e464c-e464-4ce1-9a53-06bb2fe60cc4","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_11-29-46_UIDe3a4b28a-d6bf-41f0-8664-979e85d5ba4d_MATT","finished","true","Finetuning","","2022-09-15T18:46:39.000Z","2192","0.001","sgd","0.3","false","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=False/2022-09-13_19-06-06_UIDa5593593-060e-486e-a66c-bee13635f170","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_11-24-15_UID0d0875c3-8598-49d1-aa50-c7532c10c996_MATT","finished","true","Finetuning","","2022-09-15T18:30:10.000Z","2866","0.1","sgd","0.6","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-13_11-07-47_UID3570828c-3aa7-4983-ab21-d75dfbdb4226","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_11-26-39_UID31659ce7-7282-4ffb-a251-df1f60c717e4_MATT","crashed","true","Finetuning","","2022-09-15T18:39:13.000Z","398","0.1","sgd","0.6","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-13_11-07-47_UID3570828c-3aa7-4983-ab21-d75dfbdb4226","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_11-19-04_UID0cdf6b60-3308-42ca-966b-2987b6b4271b_MATT","finished","true","Finetuning","","2022-09-15T18:22:35.000Z","1846","0.01","sgd","0.6","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-13_11-17-06_UID7cbb3ae5-9ea5-429f-be0b-0308e7310316","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-15_11-07-29_UIDcfcbfeb4-9312-4af7-a68d-fb687f432c20_MATT","finished","true","Finetuning","","2022-09-15T18:11:04.000Z","287","0.01","sgd","0.6","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-13_11-17-06_UID7cbb3ae5-9ea5-429f-be0b-0308e7310316","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-14_19-12-06_UID47e8a6b7-cd84-44c4-9809-b97afbd66b75_MATT","finished","true","Finetuning","","2022-09-15T02:35:03.000Z","6668","0.01","sgd","0.6","true","1000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-13_11-17-06_UID7cbb3ae5-9ea5-429f-be0b-0308e7310316","","","","","","","matthiasdelange","-",""
