"Name","METHOD.REPLAY.STORAGE_POLICY","METHOD.REPLAY.MEMORY_SIZE_SAMPLES","SOLVER.BASE_LR","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","finished_run","Tags","Created","Runtime","METHOD.METHOD_NAME","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean","adhoc_users_aggregate/user_aggregate_count"
"Replay_2022-10-18_11-31-24_UIDba1def8e-4bc9-47af-b291-86ab4d1462e8","reservoir_action","64","0.01","","true","","2022-10-18T18:31:30.000Z","7804","Replay","","","","","",""
"Replay_2022-10-18_11-31-34_UID15fe6b7e-0a5e-4573-a3ca-9f79b048c682","reservoir_action","128","0.01","","true","","2022-10-18T18:31:39.000Z","7766","Replay","","","","","",""
"Replay_2022-10-18_11-31-08_UID3472edaf-d483-496e-8fbe-2843a8664b92","reservoir_action","8","0.01","","true","","2022-10-18T18:31:13.000Z","7757","Replay","","","","","",""
