"Name","METHOD.REPLAY.STORAGE_POLICY","METHOD.REPLAY.MEMORY_SIZE_SAMPLES","SOLVER.BASE_LR","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","METHOD.METHOD_NAME","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean","adhoc_users_aggregate/user_aggregate_count","adhoc_users_aggregate_history/pred_action_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_action_batch/loss/avg_history_AG/mean","adhoc_users_aggregate_history/pred_noun_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_noun_batch/loss/avg_history_AG/mean","adhoc_users_aggregate_history/pred_verb_batch/loss/avg_history_AG/SE","adhoc_users_aggregate_history/pred_verb_batch/loss/avg_history_AG/mean"
"Replay_2022-09-15_18-20-13_UID30c05856-ca5b-47ed-9157-fb65ef3a1664","reservoir_stream","1000000","0.01","1.9769229348173296","Replay","0.3821423617205075","0.265756852963631","1.5594870447529243","0.16041548908501024","0.41743591831419274","10","0.3210027003632798","4.528125559486814","0.1948734485133645","3.1145768648074297","0.21897659987356","1.4135486990698076"
"Replay_2022-09-15_18-23-13_UID09ab4f67-814b-4331-aa80-839cd99a1d9f","window","1000000","0.01","2.006498545703259","Replay","0.38089083145762465","0.2683938929342621","1.587274337181304","0.16009030952808556","0.41922423846782586","10","0.299986983261483","4.618536379398249","0.19418665376710623","3.1281508823169215","0.17900872058332237","1.4903854961775205"
"Replay_2022-09-15_18-24-54_UID3743b40f-c145-4521-b911-98e4867dfe3e","reservoir_action","1000000","0.01","2.013436868645085","Replay","0.37637895651538805","0.2642754450912796","1.5763480054190937","0.15960179390290152","0.437088869938661","10","0.3164550283354227","4.6018007265616525","0.2039902006712424","3.166938736236786","0.1871898090708065","1.4348619967701988"
"Replay_2022-09-15_18-20-06_UID89c62a3e-cd4b-4b13-b30f-74e061f5f284","reservoir_stream","128","0.01","1.9695847636481651","Replay","0.3775388269343488","0.26582151094606404","1.5659283809914082","0.15955397931084667","0.4036564000765536","10","0.32531954036252575","4.564308892003484","0.2212951013064834","3.052485860935218","0.1855075326489792","1.5118230330182654"
"Replay_2022-09-15_18-23-06_UID1557b00b-a4b0-45c3-b444-bc2459ecad5e","window","128","0.01","1.9770285763736737","Replay","0.3763124127423418","0.2661039971970222","1.5681868600705704","0.15756615705525784","0.40884170533941144","10","0.37233279712418904","4.203246696041528","0.1988881934305775","2.7778131383443725","0.21598381727528077","1.425433562519705"
"Replay_2022-09-15_18-24-37_UIDd2da90e9-62f7-43ee-8f85-e773567dcdab","reservoir_action","128","0.01","1.983162840661853","Replay","0.37468857666986416","0.2651546664668876","1.5748681867691394","0.158206177125342","0.40829469572337784","10","0.3942986815627718","4.339733007480396","0.24548071451287504","3.0159583317462553","0.2189255545196543","1.3237746769544334"
"Replay_2022-09-15_18-22-48_UID04c2f279-5073-4dec-b6f0-905bdcc099ff","window","64","0.01","1.966951956892816","Replay","0.3677760905665605","0.2574207232879068","1.563436634405141","0.1593494971937802","0.4035152746800333","10","0.3000896112885304","3.984834450945087","0.16779784662251837","2.717872379284763","0.17469284868117516","1.2669620874481649"
"Replay_2022-09-15_18-24-07_UIDef2d7443-d0b8-4ce0-a040-e24e20168b22","reservoir_action","64","0.01","1.9817663181045144","Replay","0.3910746487947275","0.2739355085381336","1.5615000359328584","0.16242062175817526","0.4202662440805424","10","0.4317690762970378","3.5449232301063085","0.2527240939445608","2.4860888102412098","0.2403143942256268","1.0588344184600154"
"Replay_2022-09-16_09-09-54_UID5898e385-c23a-4c85-abb1-f74975dc306e","reservoir_stream","64","0.01","1.9593118931367155","Replay","0.3815873533352749","0.26508399263775334","1.5487625238273768","0.16402121016526655","0.4105493755208983","10","0.29578117308760915","4.446677752465419","0.2188828407989982","3.0396803481995174","0.18519146268733097","1.4069974072103713"
"Replay_2022-09-15_18-20-43_UID472f48d3-b957-4b07-9596-f71cfd7add04","window","8","0.01","1.8846544906222924","Replay","0.4049777258008619","0.2800564414450162","1.5256310932189143","0.16600458342813215","0.3590233825759196","10","0.42570163587092336","1.985048667989614","0.3106146811678964","1.4438590385886891","0.15991478029599096","0.5411896361622337"
"Replay_2022-09-15_18-24-00_UIDadc3b2c4-5785-4be4-8e50-32d0551a1eee","reservoir_action","8","0.01","1.9766742004693925","Replay","0.3880246555704275","0.27011468712391296","1.550067383155132","0.1608923032047017","0.42660683025447754","10","0.31050381223013374","2.1891701979396347","0.2026201515629886","1.662961865964973","0.17674312125952868","0.5262083355695737"
"Replay_2022-09-16_09-08-56_UIDeb40fed0-8c8c-4364-aa4a-2ea58e58a843","reservoir_stream","8","0.01","1.9547511532061488","Replay","0.38929887994568535","0.27698227889922306","1.5310952057694844","0.15536567275919674","0.42365598575447905","10","0.2730674599543566","3.627532080140957","0.20236981522555472","2.612838637271941","0.14355970481207014","1.0146934455517935"
