"Name","State","finished_run","METHOD.METHOD_NAME","Tags","Created","Runtime","SOLVER.BASE_LR","SOLVER.OPTIMIZING_METHOD","SOLVER.MOMENTUM","SOLVER.NESTEROV","METHOD.REPLAY.MEMORY_SIZE_SAMPLES","METHOD.REPLAY.STORAGE_POLICY","MODEL.FREEZE_BACKBONE","OUTPUT_DIR","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/user_aggregate_count","User","Notes","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean"
"USER-68_2022-09-16_17-34-18_UID8cae3077-fb05-4368-b3d6-95cb2813e823","finished","true","FinetuningMomentumReset","ego4d_action_recog, exp04_01_momentum_video_reset","2022-09-17T02:03:34.000Z","309","0.01","sgd","0.9","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=True/2022-09-16_17-34-18_UID8cae3077-fb05-4368-b3d6-95cb2813e823","0.7217152001274861","0.8253875945807982","0.46552941614268784","0.2901380042867369","0.2001092015079621","10","matthiasdelange","-","-0.10367241066458946"
"USER-68_2022-09-16_17-34-00_UIDfe3723fe-663c-4bf8-a4c8-bebc3563140c","finished","true","FinetuningMomentumReset","ego4d_action_recog, exp04_01_momentum_video_reset","2022-09-17T02:02:44.000Z","315","0.01","sgd","0.6","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-16_17-34-00_UIDfe3723fe-663c-4bf8-a4c8-bebc3563140c","1.556215193977836","1.359193753490234","0.4316442120747721","0.2858490217800147","0.17997449984093697","10","matthiasdelange","-","0.1970214647623992"
"USER-265_2022-09-16_17-33-48_UID6f0118ff-06d6-4ce7-836f-46a596f9e156","finished","true","FinetuningMomentumReset","ego4d_action_recog, exp04_01_momentum_video_reset","2022-09-17T01:56:15.000Z","471","0.01","sgd","0.3","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=True/2022-09-16_17-33-48_UID6f0118ff-06d6-4ce7-836f-46a596f9e156","1.8349325672092691","1.533741832839037","0.4136018779930789","0.27613652051402526","0.1763588114672714","10","matthiasdelange","-","0.30119074285064423"
"USER-265_2022-09-16_17-34-18_UID8cae3077-fb05-4368-b3d6-95cb2813e823","finished","true","FinetuningMomentumReset","ego4d_action_recog, exp04_01_momentum_video_reset","2022-09-17T01:55:29.000Z","483","0.01","sgd","0.9","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=True/2022-09-16_17-34-18_UID8cae3077-fb05-4368-b3d6-95cb2813e823","0.7217152001274861","0.8253875945807982","0.46552941614268784","0.2901380042867369","0.2001092015079621","10","matthiasdelange","-","-0.10367241066458946"
"USER-265_2022-09-16_17-34-00_UIDfe3723fe-663c-4bf8-a4c8-bebc3563140c","finished","true","FinetuningMomentumReset","ego4d_action_recog, exp04_01_momentum_video_reset","2022-09-17T01:55:17.000Z","478","0.01","sgd","0.6","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-16_17-34-00_UIDfe3723fe-663c-4bf8-a4c8-bebc3563140c","1.556215193977836","1.359193753490234","0.4316442120747721","0.2858490217800147","0.17997449984093697","10","matthiasdelange","-","0.1970214647623992"
"USER-324_2022-09-16_17-33-48_UID6f0118ff-06d6-4ce7-836f-46a596f9e156","finished","true","FinetuningMomentumReset","ego4d_action_recog, exp04_01_momentum_video_reset","2022-09-17T01:53:49.000Z","601","0.01","sgd","0.3","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=True/2022-09-16_17-33-48_UID6f0118ff-06d6-4ce7-836f-46a596f9e156","1.8349325672092691","1.533741832839037","0.4136018779930789","0.27613652051402526","0.1763588114672714","10","matthiasdelange","-","0.30119074285064423"
"USER-324_2022-09-16_17-34-18_UID8cae3077-fb05-4368-b3d6-95cb2813e823","finished","true","FinetuningMomentumReset","ego4d_action_recog, exp04_01_momentum_video_reset","2022-09-17T01:53:17.000Z","622","0.01","sgd","0.9","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=True/2022-09-16_17-34-18_UID8cae3077-fb05-4368-b3d6-95cb2813e823","0.7217152001274861","0.8253875945807982","0.46552941614268784","0.2901380042867369","0.2001092015079621","10","matthiasdelange","-","-0.10367241066458946"
"USER-324_2022-09-16_17-34-00_UIDfe3723fe-663c-4bf8-a4c8-bebc3563140c","finished","true","FinetuningMomentumReset","ego4d_action_recog, exp04_01_momentum_video_reset","2022-09-17T01:52:13.000Z","628","0.01","sgd","0.6","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-16_17-34-00_UIDfe3723fe-663c-4bf8-a4c8-bebc3563140c","1.556215193977836","1.359193753490234","0.4316442120747721","0.2858490217800147","0.17997449984093697","10","matthiasdelange","-","0.1970214647623992"
"USER-30_2022-09-16_17-33-48_UID6f0118ff-06d6-4ce7-836f-46a596f9e156","finished","true","FinetuningMomentumReset","ego4d_action_recog, exp04_01_momentum_video_reset","2022-09-17T01:42:46.000Z","661","0.01","sgd","0.3","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=True/2022-09-16_17-33-48_UID6f0118ff-06d6-4ce7-836f-46a596f9e156","1.8349325672092691","1.533741832839037","0.4136018779930789","0.27613652051402526","0.1763588114672714","10","matthiasdelange","-","0.30119074285064423"
"USER-30_2022-09-16_17-34-18_UID8cae3077-fb05-4368-b3d6-95cb2813e823","finished","true","FinetuningMomentumReset","ego4d_action_recog, exp04_01_momentum_video_reset","2022-09-17T01:42:24.000Z","650","0.01","sgd","0.9","true","1000","reservoir_stream","false","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/exp04_01_momentum_video_reset/../../../results/ego4d_action_recog/exp04_01_momentum_video_reset/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=True/2022-09-16_17-34-18_UID8cae3077-fb05-4368-b3d6-95cb2813e823","0.7217152001274861","0.8253875945807982","0.46552941614268784","0.2901380042867369","0.2001092015079621","10","matthiasdelange","-","-0.10367241066458946"
