"Name","State","finished_run","METHOD.METHOD_NAME","Tags","Created","Runtime","SOLVER.BASE_LR","SOLVER.OPTIMIZING_METHOD","SOLVER.MOMENTUM","SOLVER.NESTEROV","METHOD.REPLAY.MEMORY_SIZE_SAMPLES","METHOD.REPLAY.STORAGE_POLICY","MODEL.FREEZE_BACKBONE","OUTPUT_DIR","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/user_aggregate_count","User","Notes","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean"
"Finetuning_2022-09-19_12-16-57_UID11a32c82-471b-4921-a5c7-0ee393fdabf0","finished","true","Finetuning","","2022-09-19T19:17:03.000Z","2698","0.1","sgd","0","true","1000","reservoir_stream","true","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final03_01_finetuning_fixed_feat/../../../results/ego4d_action_recog/final03_01_finetuning_fixed_feat/logs/GRID_SOLVER-BASE_LR=0-1/2022-09-19_12-16-57_UID11a32c82-471b-4921-a5c7-0ee393fdabf0","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-16_15-22-44_UID7ddb3a7c-19fb-43ce-bcdb-c945f0df2bc5","crashed","true","Finetuning","","2022-09-16T22:22:49.000Z","256042","0.001","sgd","0","true","1000","reservoir_stream","true","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final03_01_finetuning_fixed_feat/../../../results/ego4d_action_recog/final03_01_finetuning_fixed_feat/logs/GRID_SOLVER-BASE_LR=0-001/2022-09-16_15-22-44_UID7ddb3a7c-19fb-43ce-bcdb-c945f0df2bc5","","","","","","","matthiasdelange","-",""
"Finetuning_2022-09-16_15-22-20_UIDdf4b91e7-2721-429a-8c66-55024f472e32","finished","true","Finetuning","","2022-09-16T22:22:25.000Z","5049","0.01","sgd","0","true","1000","reservoir_stream","true","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final03_01_finetuning_fixed_feat/../../../results/ego4d_action_recog/final03_01_finetuning_fixed_feat/logs/GRID_SOLVER-BASE_LR=0-01/2022-09-16_15-22-20_UIDdf4b91e7-2721-429a-8c66-55024f472e32","1.589106770737697","1.5269276809875678","0.4181661639101028","0.2729116135500933","0.18920501158947117","10","matthiasdelange","-","0.06217905155325411"
